d,k,r,p,sl,bs,ed,hd,lr,dr,ep,seg_algo,rnn_var,comb_method,dataset,type,recall,precision,f-score
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,as,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,as,test,0.755,0.671,0.710
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,cityu,test,0.736,0.628,0.678
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,msr,test,0.810,0.703,0.752
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict,,,pku,test,0.777,0.691,0.732
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,as,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,as,test,0.760,0.682,0.719
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,cityu,test,0.745,0.645,0.692
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,msr,test,0.811,0.709,0.756
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict,,,pku,test,0.783,0.705,0.742
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,as,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,as,test,0.757,0.676,0.714
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,cityu,test,0.739,0.636,0.684
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,msr,test,0.798,0.705,0.749
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_rank,,,pku,test,0.773,0.699,0.734
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,as,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,as,test,0.763,0.691,0.725
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,cityu,test,0.745,0.653,0.696
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,msr,test,0.796,0.712,0.752
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_rank,,,pku,test,0.773,0.712,0.741
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,as,train,0,0,0
