d,k,r,p,sl,bs,ed,hd,lr,dr,seg_algo,dataset,type,recall,precision,f-score
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,as,train,0,0,0
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,as,test,0.746,0.755,0.751
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,cityu,train,0,0,0
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,cityu,test,0.740,0.731,0.735
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,msr,train,0,0,0
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,msr,test,0.795,0.757,0.776
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,pku,train,0,0,0
300,1500,,15,3,4096,256,256,0.0002,0.2,rnn_p_nt,pku,test,0.769,0.764,0.766
