d,k,p,dataset,type,recall,precision,f-score
300,1000,4,cityu,train,0,0,0
300,1000,4,cityu,test,0.718,0.695,0.706
300,1000,4,msr,train,0,0,0
300,1000,4,msr,test,0.775,0.726,0.750
300,1000,4,pku,train,0,0,0
300,1000,4,pku,test,0.755,0.736,0.746
300,500,4,as,train,0,0,0
300,500,4,as,test,0.663,0.664,0.663
300,500,4,cityu,train,0,0,0
300,500,4,cityu,test,0.680,0.661,0.671
300,500,4,msr,train,0,0,0
300,500,4,msr,test,0.734,0.689,0.710
300,500,4,pku,train,0,0,0
300,500,4,pku,test,0.732,0.715,0.724
300,100,4,as,train,0,0,0
300,100,4,as,test,0.504,0.498,0.501
300,100,4,cityu,train,0,0,0
300,100,4,cityu,test,0.584,0.568,0.576
300,100,4,msr,train,0,0,0
300,100,4,msr,test,0.529,0.494,0.511
300,100,4,pku,train,0,0,0
300,100,4,pku,test,0.593,0.580,0.586
300,50,4,as,train,0,0,0
300,50,4,as,test,0.507,0.503,0.505
300,50,4,cityu,train,0,0,0
300,50,4,cityu,test,0.519,0.509,0.514
300,50,4,msr,train,0,0,0
300,50,4,msr,test,0.496,0.465,0.480
300,50,4,pku,train,0,0,0
300,50,4,pku,test,0.497,0.485,0.491
300,10,4,as,train,0,0,0
300,10,4,as,test,0.530,0.538,0.534
300,10,4,cityu,train,0,0,0
300,10,4,cityu,test,0.513,0.511,0.512
300,10,4,msr,train,0,0,0
300,10,4,msr,test,0.547,0.524,0.535
300,10,4,pku,train,0,0,0
300,10,4,pku,test,0.512,0.513,0.513
300,5000,6,as,train,0,0,0
300,5000,6,as,test,0.740,0.731,0.735
300,5000,6,cityu,train,0,0,0
300,5000,6,cityu,test,0.735,0.699,0.717
300,5000,6,msr,train,0,0,0
300,5000,6,msr,test,0.791,0.735,0.762
300,5000,6,pku,train,0,0,0
300,5000,6,pku,test,0.771,0.744,0.757
300,2000,6,as,train,0,0,0
300,2000,6,as,test,0.737,0.731,0.734
300,2000,6,cityu,train,0,0,0
300,2000,6,cityu,test,0.734,0.704,0.719
300,2000,6,msr,train,0,0,0
300,2000,6,msr,test,0.790,0.735,0.762
300,2000,6,pku,train,0,0,0
300,2000,6,pku,test,0.770,0.744,0.757
300,1500,6,as,train,0,0,0
300,1500,6,as,test,0.734,0.730,0.732
300,1500,6,cityu,train,0,0,0
300,1500,6,cityu,test,0.734,0.708,0.721
