d,k,p,dataset,type,recall,precision,f-score
300,500,20,cityu,test,0.717,0.671,0.694
300,500,20,msr,train,0,0,0
300,500,20,msr,test,0.762,0.689,0.724
300,500,20,pku,train,0,0,0
300,500,20,pku,test,0.755,0.716,0.735
300,100,20,as,train,0,0,0
300,100,20,as,test,0.620,0.573,0.596
300,100,20,cityu,train,0,0,0
300,100,20,cityu,test,0.621,0.565,0.592
300,100,20,msr,train,0,0,0
300,100,20,msr,test,0.615,0.532,0.571
300,100,20,pku,train,0,0,0
300,100,20,pku,test,0.642,0.588,0.614
300,50,20,as,train,0,0,0
300,50,20,as,test,0.614,0.565,0.589
300,50,20,cityu,train,0,0,0
300,50,20,cityu,test,0.593,0.537,0.564
300,50,20,msr,train,0,0,0
300,50,20,msr,test,0.599,0.514,0.553
300,50,20,pku,train,0,0,0
300,50,20,pku,test,0.583,0.528,0.554
300,10,20,as,train,0,0,0
300,10,20,as,test,0.612,0.564,0.587
300,10,20,cityu,train,0,0,0
300,10,20,cityu,test,0.573,0.521,0.546
300,10,20,msr,train,0,0,0
300,10,20,msr,test,0.584,0.499,0.538
300,10,20,pku,train,0,0,0
300,10,20,pku,test,0.577,0.522,0.548
300,5000,22,as,train,0,0,0
300,5000,22,as,test,0.761,0.729,0.745
300,5000,22,cityu,train,0,0,0
300,5000,22,cityu,test,0.748,0.699,0.722
300,5000,22,msr,train,0,0,0
300,5000,22,msr,test,0.793,0.717,0.753
300,5000,22,pku,train,0,0,0
300,5000,22,pku,test,0.778,0.739,0.758
300,2000,22,as,train,0,0,0
300,2000,22,as,test,0.764,0.734,0.749
300,2000,22,cityu,train,0,0,0
300,2000,22,cityu,test,0.747,0.701,0.724
300,2000,22,msr,train,0,0,0
300,2000,22,msr,test,0.793,0.720,0.754
300,2000,22,pku,train,0,0,0
300,2000,22,pku,test,0.776,0.736,0.755
300,1500,22,as,train,0,0,0
300,1500,22,as,test,0.765,0.737,0.751
300,1500,22,cityu,train,0,0,0
300,1500,22,cityu,test,0.748,0.705,0.726
300,1500,22,msr,train,0,0,0
300,1500,22,msr,test,0.793,0.720,0.755
300,1500,22,pku,train,0,0,0
300,1500,22,pku,test,0.775,0.738,0.756
300,1000,22,as,train,0,0,0
300,1000,22,as,test,0.759,0.727,0.743
300,1000,22,cityu,train,0,0,0
300,1000,22,cityu,test,0.746,0.701,0.723
300,1000,22,msr,train,0,0,0
300,1000,22,msr,test,0.787,0.715,0.749
300,1000,22,pku,train,0,0,0
300,1000,22,pku,test,0.771,0.732,0.751
300,500,22,as,train,0,0,0
300,500,22,as,test,0.728,0.688,0.707
300,500,22,cityu,train,0,0,0
300,500,22,cityu,test,0.716,0.667,0.691
300,500,22,msr,train,0,0,0
300,500,22,msr,test,0.761,0.684,0.721
300,500,22,pku,train,0,0,0
300,500,22,pku,test,0.754,0.712,0.732
300,100,22,as,train,0,0,0
300,100,22,as,test,0.624,0.572,0.597
300,100,22,cityu,train,0,0,0
300,100,22,cityu,test,0.622,0.563,0.591
300,100,22,msr,train,0,0,0
300,100,22,msr,test,0.617,0.530,0.570
300,100,22,pku,train,0,0,0
300,100,22,pku,test,0.641,0.584,0.611
300,50,22,as,train,0,0,0
300,50,22,as,test,0.617,0.565,0.590
300,50,22,cityu,train,0,0,0
300,50,22,cityu,test,0.594,0.536,0.564
300,50,22,msr,train,0,0,0
300,50,22,msr,test,0.600,0.512,0.553
300,50,22,pku,train,0,0,0
300,50,22,pku,test,0.583,0.524,0.552
300,10,22,as,train,0,0,0
300,10,22,as,test,0.615,0.563,0.588
300,10,22,cityu,train,0,0,0
300,10,22,cityu,test,0.575,0.520,0.546
300,10,22,msr,train,0,0,0
300,10,22,msr,test,0.585,0.497,0.537
300,10,22,pku,train,0,0,0
300,10,22,pku,test,0.575,0.518,0.545
300,5000,24,as,train,0,0,0
300,5000,24,as,test,0.761,0.726,0.743
300,5000,24,cityu,train,0,0,0
300,5000,24,cityu,test,0.747,0.696,0.720
300,5000,24,msr,train,0,0,0
300,5000,24,msr,test,0.791,0.714,0.751
300,5000,24,pku,train,0,0,0
300,5000,24,pku,test,0.777,0.736,0.756
300,2000,24,as,train,0,0,0
300,2000,24,as,test,0.763,0.731,0.747
300,2000,24,cityu,train,0,0,0
300,2000,24,cityu,test,0.745,0.697,0.720
300,2000,24,msr,train,0,0,0
300,2000,24,msr,test,0.790,0.715,0.751
300,2000,24,pku,train,0,0,0
300,2000,24,pku,test,0.774,0.733,0.753
300,1500,24,as,train,0,0,0
300,1500,24,as,test,0.765,0.733,0.749
300,1500,24,cityu,train,0,0,0
300,1500,24,cityu,test,0.748,0.703,0.725
300,1500,24,msr,train,0,0,0
300,1500,24,msr,test,0.790,0.715,0.751
300,1500,24,pku,train,0,0,0
300,1500,24,pku,test,0.774,0.735,0.754
300,1000,24,as,train,0,0,0
300,1000,24,as,test,0.760,0.724,0.741
300,1000,24,cityu,train,0,0,0
300,1000,24,cityu,test,0.745,0.698,0.721
300,1000,24,msr,train,0,0,0
300,1000,24,msr,test,0.785,0.710,0.746
300,1000,24,pku,train,0,0,0
300,1000,24,pku,test,0.770,0.729,0.749
300,500,24,as,train,0,0,0
300,500,24,as,test,0.728,0.685,0.706
300,500,24,cityu,train,0,0,0
300,500,24,cityu,test,0.716,0.665,0.689
300,500,24,msr,train,0,0,0
300,500,24,msr,test,0.759,0.679,0.717
300,500,24,pku,train,0,0,0
300,500,24,pku,test,0.753,0.708,0.730
300,100,24,as,train,0,0,0
300,100,24,as,test,0.625,0.571,0.597
300,100,24,cityu,train,0,0,0
300,100,24,cityu,test,0.620,0.559,0.588
300,100,24,msr,train,0,0,0
300,100,24,msr,test,0.618,0.528,0.570
300,100,24,pku,train,0,0,0
300,100,24,pku,test,0.640,0.581,0.609
300,50,24,as,train,0,0,0
300,50,24,as,test,0.620,0.565,0.591
300,50,24,cityu,train,0,0,0
300,50,24,cityu,test,0.595,0.534,0.563
300,50,24,msr,train,0,0,0
300,50,24,msr,test,0.600,0.510,0.551
300,50,24,pku,train,0,0,0
300,50,24,pku,test,0.583,0.522,0.551
300,10,24,as,train,0,0,0
300,10,24,as,test,0.616,0.563,0.588
300,10,24,cityu,train,0,0,0
300,10,24,cityu,test,0.575,0.517,0.545
300,10,24,msr,train,0,0,0
300,10,24,msr,test,0.586,0.495,0.537
300,10,24,pku,train,0,0,0
300,10,24,pku,test,0.574,0.514,0.542
300,5000,26,as,train,0,0,0
300,5000,26,as,test,0.760,0.722,0.741
300,5000,26,cityu,train,0,0,0
300,5000,26,cityu,test,0.747,0.693,0.719
300,5000,26,msr,train,0,0,0
300,5000,26,msr,test,0.789,0.709,0.747
300,5000,26,pku,train,0,0,0
300,5000,26,pku,test,0.776,0.733,0.754
300,2000,26,as,train,0,0,0
300,2000,26,as,test,0.763,0.728,0.745
300,2000,26,cityu,train,0,0,0
300,2000,26,cityu,test,0.746,0.696,0.720
300,2000,26,msr,train,0,0,0
300,2000,26,msr,test,0.788,0.710,0.747
300,2000,26,pku,train,0,0,0
300,2000,26,pku,test,0.773,0.730,0.751
300,1500,26,as,train,0,0,0
300,1500,26,as,test,0.765,0.730,0.747
300,1500,26,cityu,train,0,0,0
300,1500,26,cityu,test,0.748,0.699,0.723
300,1500,26,msr,train,0,0,0
300,1500,26,msr,test,0.788,0.711,0.748
300,1500,26,pku,train,0,0,0
300,1500,26,pku,test,0.774,0.732,0.752
300,1000,26,as,train,0,0,0
300,1000,26,as,test,0.759,0.721,0.740
300,1000,26,cityu,train,0,0,0
300,1000,26,cityu,test,0.743,0.693,0.717
300,1000,26,msr,train,0,0,0
300,1000,26,msr,test,0.783,0.704,0.741
300,1000,26,pku,train,0,0,0
300,1000,26,pku,test,0.768,0.725,0.746
300,500,26,as,train,0,0,0
300,500,26,as,test,0.727,0.681,0.703
300,500,26,cityu,train,0,0,0
300,500,26,cityu,test,0.715,0.661,0.687
300,500,26,msr,train,0,0,0
300,500,26,msr,test,0.756,0.676,0.714
300,500,26,pku,train,0,0,0
300,500,26,pku,test,0.751,0.705,0.727
300,100,26,as,train,0,0,0
300,100,26,as,test,0.627,0.571,0.598
300,100,26,cityu,train,0,0,0
300,100,26,cityu,test,0.618,0.554,0.585
300,100,26,msr,train,0,0,0
300,100,26,msr,test,0.618,0.526,0.569
300,100,26,pku,train,0,0,0
300,100,26,pku,test,0.639,0.577,0.606
300,50,26,as,train,0,0,0
300,50,26,as,test,0.622,0.565,0.592
300,50,26,cityu,train,0,0,0
300,50,26,cityu,test,0.596,0.532,0.563
300,50,26,msr,train,0,0,0
300,50,26,msr,test,0.601,0.508,0.550
300,50,26,pku,train,0,0,0
300,50,26,pku,test,0.583,0.520,0.550
300,10,26,as,train,0,0,0
300,10,26,as,test,0.618,0.562,0.588
300,10,26,cityu,train,0,0,0
300,10,26,cityu,test,0.575,0.514,0.543
300,10,26,msr,train,0,0,0
300,10,26,msr,test,0.585,0.493,0.535
300,10,26,pku,train,0,0,0
300,10,26,pku,test,0.574,0.512,0.541
300,5000,28,as,train,0,0,0
300,5000,28,as,test,0.759,0.719,0.739
300,5000,28,cityu,train,0,0,0
300,5000,28,cityu,test,0.746,0.691,0.717
300,5000,28,msr,train,0,0,0
300,5000,28,msr,test,0.786,0.704,0.743
300,5000,28,pku,train,0,0,0
300,5000,28,pku,test,0.774,0.730,0.751
300,2000,28,as,train,0,0,0
300,2000,28,as,test,0.762,0.725,0.743
300,2000,28,cityu,train,0,0,0
300,2000,28,cityu,test,0.745,0.693,0.718
300,2000,28,msr,train,0,0,0
300,2000,28,msr,test,0.785,0.706,0.743
300,2000,28,pku,train,0,0,0
300,2000,28,pku,test,0.772,0.726,0.748
300,1500,28,as,train,0,0,0
300,1500,28,as,test,0.764,0.727,0.745
300,1500,28,cityu,train,0,0,0
300,1500,28,cityu,test,0.747,0.697,0.721
300,1500,28,msr,train,0,0,0
300,1500,28,msr,test,0.786,0.706,0.744
300,1500,28,pku,train,0,0,0
300,1500,28,pku,test,0.772,0.729,0.750
300,1000,28,as,train,0,0,0
300,1000,28,as,test,0.759,0.718,0.738
300,1000,28,cityu,train,0,0,0
300,1000,28,cityu,test,0.743,0.690,0.715
300,1000,28,msr,train,0,0,0
300,1000,28,msr,test,0.780,0.699,0.737
300,1000,28,pku,train,0,0,0
300,1000,28,pku,test,0.766,0.721,0.743
300,500,28,as,train,0,0,0
300,500,28,as,test,0.727,0.678,0.702
300,500,28,cityu,train,0,0,0
300,500,28,cityu,test,0.714,0.657,0.685
300,500,28,msr,train,0,0,0
300,500,28,msr,test,0.754,0.671,0.710
300,500,28,pku,train,0,0,0
300,500,28,pku,test,0.749,0.700,0.724
300,100,28,as,train,0,0,0
300,100,28,as,test,0.628,0.570,0.597
300,100,28,cityu,train,0,0,0
300,100,28,cityu,test,0.617,0.551,0.582
300,100,28,msr,train,0,0,0
300,100,28,msr,test,0.619,0.525,0.568
300,100,28,pku,train,0,0,0
300,100,28,pku,test,0.639,0.573,0.604
300,50,28,as,train,0,0,0
300,50,28,as,test,0.624,0.564,0.592
300,50,28,cityu,train,0,0,0
300,50,28,cityu,test,0.597,0.530,0.562
300,50,28,msr,train,0,0,0
300,50,28,msr,test,0.601,0.506,0.550
300,50,28,pku,train,0,0,0
300,50,28,pku,test,0.583,0.518,0.549
300,10,28,as,train,0,0,0
300,10,28,as,test,0.619,0.560,0.588
300,10,28,cityu,train,0,0,0
300,10,28,cityu,test,0.574,0.511,0.541
300,10,28,msr,train,0,0,0
300,10,28,msr,test,0.585,0.490,0.533
300,10,28,pku,train,0,0,0
300,10,28,pku,test,0.574,0.509,0.540
300,5000,30,as,train,0,0,0
300,5000,30,as,test,0.758,0.716,0.736
300,5000,30,cityu,train,0,0,0
300,5000,30,cityu,test,0.745,0.688,0.716
300,5000,30,msr,train,0,0,0
300,5000,30,msr,test,0.783,0.699,0.739
300,5000,30,pku,train,0,0,0
300,5000,30,pku,test,0.772,0.726,0.748
300,2000,30,as,train,0,0,0
300,2000,30,as,test,0.761,0.722,0.741
300,2000,30,cityu,train,0,0,0
300,2000,30,cityu,test,0.743,0.690,0.715
300,2000,30,msr,train,0,0,0
300,2000,30,msr,test,0.783,0.701,0.740
300,2000,30,pku,train,0,0,0
300,2000,30,pku,test,0.769,0.723,0.745
300,1500,30,as,train,0,0,0
300,1500,30,as,test,0.763,0.724,0.743
300,1500,30,cityu,train,0,0,0
300,1500,30,cityu,test,0.745,0.693,0.718
300,1500,30,msr,train,0,0,0
300,1500,30,msr,test,0.782,0.700,0.739
300,1500,30,pku,train,0,0,0
300,1500,30,pku,test,0.770,0.725,0.747
300,1000,30,as,train,0,0,0
300,1000,30,as,test,0.758,0.714,0.735
300,1000,30,cityu,train,0,0,0
300,1000,30,cityu,test,0.741,0.685,0.712
300,1000,30,msr,train,0,0,0
300,1000,30,msr,test,0.776,0.693,0.733
300,1000,30,pku,train,0,0,0
300,1000,30,pku,test,0.764,0.716,0.739
300,500,30,as,train,0,0,0
300,500,30,as,test,0.726,0.675,0.700
300,500,30,cityu,train,0,0,0
300,500,30,cityu,test,0.713,0.653,0.682
300,500,30,msr,train,0,0,0
300,500,30,msr,test,0.751,0.665,0.705
300,500,30,pku,train,0,0,0
300,500,30,pku,test,0.746,0.695,0.720
300,100,30,as,train,0,0,0
300,100,30,as,test,0.629,0.570,0.598
300,100,30,cityu,train,0,0,0
300,100,30,cityu,test,0.617,0.549,0.581
300,100,30,msr,train,0,0,0
300,100,30,msr,test,0.618,0.522,0.566
300,100,30,pku,train,0,0,0
300,100,30,pku,test,0.637,0.570,0.602
300,50,30,as,train,0,0,0
300,50,30,as,test,0.624,0.563,0.592
300,50,30,cityu,train,0,0,0
300,50,30,cityu,test,0.596,0.529,0.561
300,50,30,msr,train,0,0,0
300,50,30,msr,test,0.601,0.504,0.548
300,50,30,pku,train,0,0,0
300,50,30,pku,test,0.583,0.516,0.548
300,10,30,as,train,0,0,0
300,10,30,as,test,0.620,0.559,0.588
300,10,30,cityu,train,0,0,0
300,10,30,cityu,test,0.574,0.510,0.540
300,10,30,msr,train,0,0,0
300,10,30,msr,test,0.585,0.488,0.532
300,10,30,pku,train,0,0,0
300,10,30,pku,test,0.574,0.507,0.538
