d,k,r,p,sl,bs,ed,hd,lr,dr,ep,dataset,seg_algo_rnn,seg_algo_nt,type,1-gram,2-gram,3-gram,4-gram,5-gram-up
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict_pr,r_p_naive_threshold,rnn,29354,42596,1410,68,2
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict_pr,r_p_naive_threshold,nt,25418,47762,557,25,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict_pr,r_p_naive_threshold,either,32822,48982,1762,91,2
300,1500,,16,3,4096,256,256,0.0002,0.2,80,as,rnn_be_strict_pr,r_p_naive_threshold,total,41887,51940,6557,1270,208
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict_pr,r_p_naive_threshold,rnn,9031,14005,552,23,1
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict_pr,r_p_naive_threshold,nt,7471,16070,237,9,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict_pr,r_p_naive_threshold,either,9946,16486,672,31,1
300,1500,,16,3,4096,256,256,0.0002,0.2,80,cityu,rnn_be_strict_pr,r_p_naive_threshold,total,12781,17747,2478,537,121
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict_pr,r_p_naive_threshold,rnn,24472,42900,1521,340,37
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict_pr,r_p_naive_threshold,nt,21766,46917,281,4,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict_pr,r_p_naive_threshold,either,26981,47955,1647,343,37
300,1500,,16,3,4096,256,256,0.0002,0.2,80,msr,rnn_be_strict_pr,r_p_naive_threshold,total,31841,49727,4351,2447,993
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict_pr,r_p_naive_threshold,rnn,23699,39713,1390,255,14
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict_pr,r_p_naive_threshold,nt,20761,44298,292,7,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict_pr,r_p_naive_threshold,either,26214,45274,1560,262,14
300,1500,,16,3,4096,256,256,0.0002,0.2,80,pku,rnn_be_strict_pr,r_p_naive_threshold,total,32471,48144,4348,1765,166
